Date,Open,High,Low,Close,Volume,Price_Change,Percentage_Change,Average_Price,Range
29/09/2021,4.16,4.2,4.14,4.2,14258010,0.04,0.961538462,4.17,0.06
28/09/2021,4.2,4.2,4.16,4.19,10193560,-0.01,-0.238095238,4.18,0.04
27/09/2021,4.17,4.23,4.17,4.2,20255900,0.03,0.71942446,4.2,0.06
23/09/2021,4.3,4.31,4.23,4.25,20358820,-0.05,-1.162790698,4.27,0.08
22/09/2021,4.3,4.32,4.27,4.3,9282296,0,0,4.295,0.05
21/09/2021,4.33,4.33,4.28,4.29,12271930,-0.04,-0.923787529,4.305,0.05
20/09/2021,4.37,4.37,4.3,4.32,12957840,-0.05,-1.14416476,4.335,0.07
16/09/2021,4.41,4.43,4.38,4.42,106663398,0.01,0.22675737,4.405,0.05
15/09/2021,4.36,4.43,4.36,4.41,21157859,0.05,1.146788991,4.395,0.07
14/09/2021,4.38,4.4,4.35,4.38,23033381,0,0,4.375,0.05
13/09/2021,4.45,4.45,4.35,4.37,20882721,-0.08,-1.797752809,4.4,0.1
09/09/2021,4.46,4.48,4.43,4.45,18932609,-0.01,-0.224215247,4.455,0.05
08/09/2021,4.48,4.49,4.46,4.46,15135730,-0.02,-0.446428571,4.475,0.03
07/09/2021,4.48,4.51,4.47,4.49,17004789,0.01,0.223214286,4.49,0.04
06/09/2021,4.49,4.51,4.48,4.49,21527340,0,0,4.495,0.03
02/09/2021,4.5,4.5,4.47,4.48,28116801,-0.02,-0.444444444,4.485,0.03
01/09/2021,4.5,4.51,4.48,4.5,13582180,0,0,4.495,0.03
31/08/2021,4.5,4.52,4.47,4.52,26942609,0.02,0.444444444,4.495,0.05
30/08/2021,4.48,4.53,4.48,4.5,17186830,0.02,0.446428571,4.505,0.05
26/08/2021,4.54,4.54,4.47,4.49,16755180,-0.05,-1.101321586,4.505,0.07
25/08/2021,4.58,4.58,4.49,4.54,14285870,-0.04,-0.873362445,4.535,0.09
24/08/2021,4.58,4.61,4.55,4.57,13845110,-0.01,-0.218340611,4.58,0.06
23/08/2021,4.57,4.63,4.57,4.57,18185641,0,0,4.6,0.06
19/08/2021,4.52,4.55,4.45,4.48,10966900,-0.04,-0.884955752,4.5,0.1
18/08/2021,4.5,4.57,4.5,4.55,11090160,0.05,1.111111111,4.535,0.07
17/08/2021,4.38,4.49,4.36,4.49,17879920,0.11,2.511415525,4.425,0.13
16/08/2021,4.35,4.38,4.35,4.38,8540988,0.03,0.689655172,4.365,0.03
11/08/2021,4.39,4.4,4.37,4.38,8409073,-0.01,-0.227790433,4.385,0.03
10/08/2021,4.38,4.43,4.37,4.39,13289530,0.01,0.228310502,4.4,0.06
09/08/2021,4.36,4.38,4.34,4.38,5398642,0.02,0.458715596,4.36,0.04
05/08/2021,4.38,4.38,4.35,4.38,5039327,0,0,4.365,0.03
04/08/2021,4.38,4.39,4.35,4.38,5917033,0,0,4.37,0.04
03/08/2021,4.36,4.38,4.35,4.38,7016327,0.02,0.458715596,4.365,0.03
02/08/2021,4.36,4.37,4.34,4.35,6801629,-0.01,-0.229357798,4.355,0.03
29/07/2021,4.37,4.37,4.32,4.36,7250857,-0.01,-0.228832952,4.345,0.05
28/07/2021,4.33,4.36,4.32,4.33,5201665,0,0,4.34,0.04
27/07/2021,4.35,4.39,4.33,4.35,8402939,0,0,4.36,0.06
26/07/2021,4.33,4.37,4.32,4.37,6625169,0.04,0.923787529,4.345,0.05
15/07/2021,4.38,4.38,4.31,4.32,9049824,-0.06,-1.369863014,4.345,0.07
14/07/2021,4.4,4.4,4.33,4.33,7695922,-0.07,-1.590909091,4.365,0.07
13/07/2021,4.36,4.4,4.35,4.4,7508772,0.04,0.917431193,4.375,0.05
12/07/2021,4.33,4.38,4.33,4.38,6678296,0.05,1.154734411,4.355,0.05
08/07/2021,4.39,4.39,4.35,4.38,9701797,-0.01,-0.227790433,4.37,0.04
07/07/2021,4.38,4.39,4.34,4.39,5803029,0.01,0.228310502,4.365,0.05
06/07/2021,4.39,4.39,4.36,4.38,5324063,-0.01,-0.227790433,4.375,0.03
05/07/2021,4.37,4.4,4.22,4.39,16202780,0.02,0.457665904,4.31,0.18
01/07/2021,4.33,4.37,4.31,4.34,9896608,0.01,0.230946882,4.34,0.06
30/06/2021,4.27,4.33,4.27,4.33,12787980,0.06,1.405152225,4.3,0.06
29/06/2021,4.25,4.3,4.22,4.3,6506470,0.05,1.176470588,4.26,0.08
28/06/2021,4.28,4.3,4.25,4.27,6699723,-0.01,-0.23364486,4.275,0.05
